dataset,pct_nulls,seed,start_index,end_index,nulls,training_time_IPM_70_30_Retraining,imputation_time_IPM_70_30_Retraining,total_time_IPM_70_30_Retraining,exact_matches_IPM_70_30_Retraining,avg_semantic_sim_IPM_70_30_Retraining
australian,5,94,0,229,99,16.951455409000005,0.4217469549999535,17.373202363999958,58,0.893942654132843
australian,5,94,230,252,9,17.57919512299989,0.14399152599997933,17.72318664899987,6,0.9321570992469788
australian,5,94,253,275,9,19.55174359099999,0.1692047580002054,19.720948349000196,5,0.8949726819992065
australian,5,94,276,298,9,20.598671802999945,0.16150501099997427,20.76017681399992,6,0.9276843667030334
australian,5,94,299,321,9,22.698725431999776,0.14556693599968185,22.844292367999458,5,0.8950369954109192
australian,5,94,322,344,9,23.90982458199983,0.1593751280001925,24.06919971000002,5,0.883895754814148
australian,5,94,345,367,9,24.899285442999826,0.13020084000004317,25.02948628299987,3,0.8489033579826355
australian,5,94,368,390,9,26.973010465000016,0.16432366700007606,27.137334132000092,7,0.9531551003456116
australian,5,94,391,413,9,27.986113134000107,0.1313633300001129,28.11747646400022,7,0.9360546469688416
australian,5,94,414,436,9,30.502636470999846,0.13464215699991655,30.637278627999763,8,0.9690271019935608
australian,5,94,437,459,9,31.183445602999655,0.14364269700035948,31.327088300000014,4,0.8622326850891113
australian,5,94,460,482,9,33.6528059960001,0.13703112799998962,33.78983712400009,3,0.8310274481773376
australian,5,94,483,505,9,34.25860174899981,0.13012823200028834,34.3887299810001,6,0.9045931696891785
australian,5,94,506,528,9,35.60802997300016,0.15673888300034378,35.7647688560005,6,0.9314920902252197
australian,5,94,529,551,9,37.452422306000244,0.14723337299960804,37.59965567899985,5,0.8617694973945618
australian,5,94,552,574,9,38.77530552500025,0.13886091100039266,38.91416643600064,6,0.9053367972373962
australian,5,94,575,597,9,40.803939714000535,0.15105647600012162,40.95499619000066,5,0.9098888039588928
australian,5,94,598,620,9,41.66326223200031,0.16201544700084014,41.82527767900115,7,0.9332205653190613
australian,5,94,621,643,9,44.48240866699916,0.13781973600043784,44.6202284029996,8,0.9743412137031555
australian,5,94,644,666,9,44.786963849000585,0.1565920909997658,44.94355594000035,5,0.8767613172531128
australian,5,94,667,689,9,46.2819462059997,0.14509036900017236,46.427036574999875,6,0.9120345711708069
australian,10,94,0,229,207,15.149160988999483,0.29913539600011063,15.448296384999594,111,0.8836153745651245
australian,10,94,230,252,18,17.539848278001045,0.5096941249994416,18.049542403000487,12,0.9215396046638489
australian,10,94,253,275,18,19.682018314999823,1.3596933520007042,21.041711667000527,11,0.9105694890022278
australian,10,94,276,298,18,20.602098234001005,0.5633027289986785,21.165400962999684,10,0.8953245878219604
australian,10,94,299,321,18,22.292154246000337,0.16251339300106338,22.4546676390014,9,0.8952307105064392
australian,10,94,322,344,18,23.751854888000253,0.903818586999023,24.655673474999276,10,0.89817875623703
australian,10,94,345,367,18,24.86763160899909,0.513007271999868,25.38063888099896,7,0.8604614734649658
australian,10,94,368,390,18,26.789116247000948,1.1911527449983623,27.98026899199931,15,0.9551284909248352
australian,10,94,391,413,18,28.085993125001096,0.556341667000197,28.642334792001293,14,0.9477570652961731
australian,10,94,414,436,18,30.296324108999215,1.2042223949993058,31.50054650399852,11,0.8884939551353455
australian,10,94,437,459,18,31.12387791400033,0.23392005100049573,31.357797965000827,10,0.8729660511016846
australian,10,94,460,482,18,33.31604396900002,0.38369406299943876,33.69973803199946,7,0.8495180606842041
australian,10,94,483,505,18,34.224143297999944,0.8806984129992088,35.10484171099915,10,0.8665153980255127
australian,10,94,506,528,18,35.63022315599892,0.3408243180010686,35.97104747399999,12,0.918670654296875
australian,10,94,529,551,18,37.36118271599935,1.045382824002445,38.40656554000179,9,0.8648644685745239
australian,10,94,552,574,18,38.81147035200047,0.9701108209983431,39.78158117299881,14,0.9420433044433594
australian,10,94,575,597,18,40.962410124998314,0.9497611320020951,41.91217125700041,11,0.8967940211296082
australian,10,94,598,620,18,41.67346462899877,0.6148551710011816,42.288319799999954,13,0.9296993613243103
australian,10,94,621,643,18,44.401812558998245,0.16522208399874216,44.56703464299699,9,0.8849835991859436
australian,10,94,644,666,18,44.97087174700118,0.4547833129990977,45.42565506000028,11,0.8957828879356384
australian,10,94,667,689,18,46.18126599900097,0.8097455040006025,46.99101150300157,12,0.9142953157424927
australian,20,94,0,229,414,14.307479135000904,0.9175722550025966,15.2250513900035,229,0.887613832950592
australian,20,94,230,252,36,17.421192171998882,0.3997105049975289,17.82090267699641,24,0.9121265411376953
australian,20,94,253,275,36,19.524886997000976,0.8220973619982033,20.34698435899918,21,0.9018598198890686
australian,20,94,276,298,36,20.41715232899878,0.16987866899853543,20.587030997997317,25,0.9215372204780579
australian,20,94,299,321,36,22.37736339499861,0.21161093799764785,22.58897433299626,17,0.8878185153007507
australian,20,94,322,344,36,23.779470859999492,0.6480143470007533,24.427485207000245,19,0.8837752342224121
australian,20,94,345,367,36,24.85020336299931,0.4467791289989691,25.29698249199828,16,0.8653424382209778
australian,20,94,368,390,36,26.90160839100008,0.6770928930009177,27.578701284001,23,0.9031192064285278
australian,20,94,391,413,36,28.065567511001063,0.5400493280012597,28.605616839002323,23,0.9226364493370056
australian,20,94,414,436,36,30.21974887599754,1.054806303000987,31.274555178998526,22,0.8940601348876953
australian,20,94,437,459,36,30.966238770000018,0.1667434110013346,31.132982181001353,21,0.8860357999801636
australian,20,94,460,482,36,32.83904015399639,0.3411458419986957,33.18018599599509,20,0.8960400819778442
australian,20,94,483,505,36,34.17747703800069,0.8577451170003769,35.035222155001065,20,0.8726591467857361
australian,20,94,506,528,36,35.661093539999456,0.6155004110005393,36.276593950999995,27,0.9399284720420837
australian,20,94,529,551,36,37.338841147000494,0.8353115740001158,38.17415272100061,23,0.9023455381393433
australian,20,94,552,574,36,38.73595902800116,0.873686662000182,39.609645690001344,27,0.9359759092330933
australian,20,94,575,597,36,40.772761324000385,0.4896472629998243,41.26240858700021,21,0.8835212588310242
australian,20,94,598,620,36,41.75803110400102,1.088808954000342,42.84684005800136,22,0.90786212682724
australian,20,94,621,643,36,43.42093105099957,0.8619155320020582,44.28284658300163,24,0.9199714660644531
australian,20,94,644,666,36,45.14242533400011,0.21017117300107202,45.35259650700118,24,0.9163541793823242
australian,20,94,667,689,36,46.38546034499814,0.7524231100014731,47.13788345499961,21,0.8987571001052856
australian,40,94,0,229,828,12.408137739001177,1.3509523150005407,13.759090054001717,461,0.8907352089881897
australian,40,94,230,252,81,17.398134038001444,0.5668039870006396,17.964938025002084,46,0.8947190046310425
australian,40,94,253,275,81,18.820186239999202,0.991036570999313,19.811222810998515,51,0.9116340279579163
australian,40,94,276,298,81,20.524219314998845,0.1622270669977297,20.686446381996575,45,0.8870635032653809
australian,40,94,299,321,81,22.17107924499942,0.45612852800331893,22.627207773002738,43,0.8863687515258789
australian,40,94,322,344,81,23.656261322999853,0.7034391660008623,24.359700489000716,43,0.8824652433395386
australian,40,94,345,367,81,24.617169238004863,0.5412062339964905,25.158375472001353,44,0.8894265294075012
australian,40,94,368,390,81,26.884134097997958,0.22573442800239718,27.109868526000355,50,0.8975706100463867
australian,40,94,391,413,81,28.004740058999232,0.43768433399782225,28.442424392997054,48,0.9026768207550049
australian,40,94,414,436,81,29.589071705000606,0.3709851349940436,29.96005683999465,48,0.8966226577758789
australian,40,94,437,459,81,30.871375571996396,0.4083942620000016,31.279769833996397,47,0.8911541700363159
australian,40,94,460,482,81,32.75480685500224,0.6319487559976551,33.3867556109999,44,0.8943984508514404
australian,40,94,483,505,81,34.025071800999285,0.16926312900250196,34.19433493000179,41,0.868062436580658
australian,40,94,506,528,81,35.333622612999534,0.45952889900399896,35.79315151200353,57,0.9328529238700867
australian,40,94,529,551,81,37.380738065001424,0.8554284400015604,38.236166505002984,44,0.889758825302124
australian,40,94,552,574,81,38.71205830099825,0.3438288229972386,39.05588712399549,52,0.9085596203804016
australian,40,94,575,597,81,40.82458670899905,0.7914072050007235,41.61599391399977,49,0.8990625739097595
australian,40,94,598,620,81,41.606978548999905,0.23515098099233,41.842129529992235,47,0.897326648235321
australian,40,94,621,643,81,43.513233707000836,1.2433223999996699,44.756556107000506,55,0.9207525253295898
australian,40,94,644,666,81,44.743074000998604,0.8757581010013382,45.61883210199994,52,0.912783145904541
australian,40,94,667,689,81,45.950460234000275,0.979723507000017,46.93018374100029,48,0.897026538848877
