dataset,pct_nulls,seed,start_index,end_index,nulls,training_time_IPM_70_30_Retraining,imputation_time_IPM_70_30_Retraining,total_time_IPM_70_30_Retraining,exact_matches_IPM_70_30_Retraining,avg_semantic_sim_IPM_70_30_Retraining
contraceptive,5,584,0,490,192,21.911628993,0.42658888200001144,22.338217875000012,127,0.901160717010498
contraceptive,5,584,491,539,16,25.06354399599998,0.6870540480000216,25.750598044,9,0.8558351993560791
contraceptive,5,584,540,588,16,26.36740397599999,0.32099102899994136,26.688395004999933,10,0.8722894191741943
contraceptive,5,584,589,637,16,28.008096475999935,1.4452700000000505,29.453366475999985,14,0.9445611834526062
contraceptive,5,584,638,686,16,30.281931052000118,0.6032166399999142,30.885147692000032,13,0.92426598072052
contraceptive,5,584,687,735,16,32.489874231000044,1.0017238670000097,33.491598098000054,9,0.8550054430961609
contraceptive,5,584,736,784,16,34.46553138899981,0.19937639000005447,34.66490777899986,11,0.9227638244628906
contraceptive,5,584,785,833,16,36.65632914799983,1.629121804000306,38.28545095200013,9,0.8545199036598206
contraceptive,5,584,834,882,16,39.084703575999924,0.811364755999989,39.89606833199991,9,0.8643262386322021
contraceptive,5,584,883,931,16,41.17989929800024,0.2417018899999448,41.42160118800018,9,0.877643346786499
contraceptive,5,584,932,980,16,43.372071486999744,0.24588868199987246,43.617960168999616,8,0.8831265568733215
contraceptive,5,584,981,1029,16,45.52750336999975,1.0277849349996586,46.55528830499941,8,0.8557238578796387
contraceptive,5,584,1030,1078,16,47.78263419599966,1.6179472440003337,49.400581439999996,12,0.9130487442016602
contraceptive,5,584,1079,1127,16,50.144739384000104,0.7465735139994649,50.89131289799957,12,0.9111013412475586
contraceptive,5,584,1128,1176,16,52.37242982499993,0.9033437060004417,53.27577353100037,10,0.9059433937072754
contraceptive,5,584,1177,1225,16,53.786918793000495,0.7846530399999665,54.57157183300046,12,0.9374809265136719
contraceptive,5,584,1226,1274,16,55.89968693999958,0.8324829900006989,56.73216993000028,10,0.8617766499519348
contraceptive,5,584,1275,1323,16,58.05625808900004,0.4680621190000238,58.52432020800006,10,0.8914875984191895
contraceptive,5,584,1324,1372,16,60.272138752000046,0.9467293269999573,61.218868079,10,0.8650984764099121
contraceptive,5,584,1373,1421,16,62.227535864999936,1.4034186540002338,63.63095451900017,12,0.9269648790359497
contraceptive,5,584,1422,1470,16,64.49491084500005,0.741566926000587,65.23647777100064,9,0.8643077611923218
contraceptive,5,584,1471,1472,0,64.4670016060013,0.0004942960008520458,64.46749590200216,0,0.0
contraceptive,10,584,0,490,392,20.411402839999027,0.9900152460004392,21.401418085999467,258,0.8936756253242493
contraceptive,10,584,491,539,32,24.446173520000684,0.7210860029995274,25.16725952300021,17,0.8491462469100952
contraceptive,10,584,540,588,32,26.044477502000518,1.1843634009997004,27.22884090300022,21,0.8851059079170227
contraceptive,10,584,589,637,32,27.983819322999807,0.8863341739993302,28.870153496999137,25,0.9155981540679932
contraceptive,10,584,638,686,32,30.267131815000084,0.729813684000419,30.996945499000503,22,0.8864810466766357
contraceptive,10,584,687,735,32,32.28775942099901,0.15913820900004794,32.44689762999906,16,0.8468670845031738
contraceptive,10,584,736,784,32,34.507630100999904,0.29551276400025017,34.803142865000154,17,0.8547905683517456
contraceptive,10,584,785,833,32,36.731435750999935,0.7112934470001164,37.44272919800005,18,0.8479126691818237
contraceptive,10,584,834,882,32,38.711312930999156,1.0416594769990297,39.752972407998186,18,0.868624210357666
contraceptive,10,584,883,931,32,40.995647282999926,1.0342654640007822,42.02991274700071,16,0.8397010564804077
contraceptive,10,584,932,980,32,43.19572774199969,0.702540628999941,43.89826837099963,17,0.8677155375480652
contraceptive,10,584,981,1029,32,45.397147898000185,0.26344483700040655,45.66059273500059,16,0.8563810586929321
contraceptive,10,584,1030,1078,32,47.70334530000082,1.0003953600003115,48.70374066000113,22,0.9018158912658691
contraceptive,10,584,1079,1127,32,50.19176897399939,1.341862697000579,51.533631670999966,26,0.9337937831878662
contraceptive,10,584,1128,1176,32,51.57620016400051,1.2061583370004882,52.782358501001,21,0.9053564071655273
contraceptive,10,584,1177,1225,32,53.58500801699893,0.4386646299994936,54.02367264699842,26,0.952879786491394
contraceptive,10,584,1226,1274,32,55.71555525200165,0.96604396200064,56.68159921400229,19,0.8553701639175415
contraceptive,10,584,1275,1323,32,57.76878135300012,0.7960041289998117,58.564785481999934,22,0.918415904045105
contraceptive,10,584,1324,1372,32,60.240353990000585,0.5906265740004528,60.83098056400104,21,0.8782914280891418
contraceptive,10,584,1373,1421,32,62.105450650999046,0.9037946430016746,63.00924529400072,20,0.8792852163314819
