dataset,pct_nulls,start_index,end_index,seed,nulls,training_time_IPM_70_30_Retraining,imputation_time_IPM_70_30_Retraining,total_time_IPM_70_30_Retraining,exact_matches_IPM_70_30_Retraining,avg_semantic_sim_IPM_70_30_Retraining
credit,5,0,217,1234,100,16.620483117,0.242052540000003,16.862535657,65,0.927623450756073
credit,5,218,239,1234,10,17.599126499,0.146601152999978,17.745727652,9,0.975273907184601
credit,5,240,261,1234,10,19.0655761399999,0.157908904999942,19.2234850449999,7,0.923381805419922
credit,5,262,283,1234,10,21.1869241239999,0.154148967999845,21.3410730919997,5,0.877881467342377
credit,5,284,305,1234,10,22.3127171120001,0.151497008000092,22.4642141200002,5,0.882754027843475
credit,5,306,327,1234,10,25.0861320010001,0.15214808699983,25.2382800879999,4,0.847838878631592
credit,5,328,349,1234,10,25.6614216760004,0.154153718999851,25.8155753950002,6,0.901392161846161
credit,5,350,371,1234,10,26.753980723,0.153434791999871,26.9074155149999,2,0.82894766330719
credit,5,372,393,1234,10,28.7137784430003,0.152676897000106,28.8664553400004,6,0.894897401332855
credit,5,394,415,1234,10,30.2945176419997,0.157030586999895,30.4515482289996,7,0.930444896221161
credit,5,416,437,1234,10,32.3745140560002,0.145098603999713,32.5196126599999,7,0.921223938465118
credit,5,438,459,1234,10,33.2300176400001,0.158221866000304,33.3882395060004,8,0.942753434181213
credit,5,460,481,1234,10,35.0286468750001,0.137085539999816,35.1657324149999,7,0.945523083209992
credit,5,482,503,1234,10,36.253489683,0.144215574000327,36.3977052570003,5,0.899370968341827
credit,5,504,525,1234,10,37.6644291139999,0.152656987000682,37.8170861010005,5,0.864683926105499
credit,5,526,547,1234,10,39.3840577119997,0.137601697000491,39.5216594090002,6,0.88639098405838
credit,5,548,569,1234,10,40.9728209549999,0.150034689000222,41.1228556440001,8,0.952617108821869
credit,5,570,591,1234,10,43.1603893820002,0.1491602589997,43.3095496409999,6,0.923070549964905
credit,5,592,613,1234,10,43.9026641740002,0.150879462999683,44.0535436369999,7,0.938772141933441
credit,5,614,635,1234,10,45.2356534499997,0.156238052000163,45.3918915019999,6,0.914314687252045
credit,5,636,652,1234,0,46.933488676,0.00067708700021285,46.9341657630002,0,0
credit,10,0,217,1234,210,15.3805256980004,0.296198264000168,15.6767239620006,139,0.92548543214798
credit,10,218,239,1234,20,17.6684575049997,0.172234570000228,17.8406920749999,14,0.939549863338471
credit,10,240,261,1234,20,18.9088748199997,0.433093800999359,19.3419686209991,14,0.920141160488129
credit,10,262,283,1234,20,21.0436891560003,0.238857119000386,21.2825462750006,9,0.863296210765839
credit,10,284,305,1234,20,22.0204743219997,0.187004534000607,22.2074788560003,9,0.864974796772003
credit,10,306,327,1234,20,24.7097362359996,0.37014404500087,25.0798802810004,8,0.852931797504425
credit,10,328,349,1234,20,25.4044345409998,0.154270610999447,25.5587051519992,8,0.855713486671448
credit,10,350,371,1234,20,26.6032913390009,0.15670407199832,26.7599954109992,9,0.874029099941254
credit,10,372,393,1234,20,28.5644701530009,0.216111212000214,28.7805813650011,8,0.855420291423798
credit,10,394,415,1234,20,29.8130785290005,0.14891214599902,29.9619906749995,12,0.901907384395599
credit,10,416,437,1234,20,31.7848426899991,0.177038756000002,31.9618814459991,10,0.85673314332962
credit,10,438,459,1234,20,33.0641067270003,0.169650586999069,33.2337573139994,13,0.924085915088654
credit,10,460,481,1234,20,34.7657685340005,0.170979165000063,34.9367476990005,11,0.917391121387482
credit,10,482,503,1234,20,36.2740869630006,0.204390094999326,36.478477058,12,0.920438587665558
credit,10,504,525,1234,20,37.5279593709988,0.181742186000065,37.7097015569989,10,0.866539001464844
credit,10,526,547,1234,20,39.5895495189998,0.418409081999471,40.0079586009992,14,0.932608127593994
credit,10,548,569,1234,20,40.7383187930004,0.226120633000392,40.9644394260008,17,0.96608829498291
credit,10,570,591,1234,20,43.2817639999989,0.181225762000395,43.4629897619993,14,0.944293677806854
credit,10,592,613,1234,20,43.8417633640001,0.349618671000826,44.191382035001,13,0.923348546028137
credit,10,614,635,1234,20,45.1612616069983,0.188010088999818,45.3492716959981,14,0.924886167049408
credit,10,636,652,1234,10,47.4580702069998,0.160192040000311,47.6182622470001,5,0.893979549407959
credit,20,0,217,1234,430,14.8204606409995,0.529668452999886,15.3501290939994,291,0.92783534526825
credit,20,218,239,1234,40,17.6791928840007,0.212074081999162,17.8912669659999,27,0.926211178302765
credit,20,240,261,1234,40,18.9085564550032,0.184653806999449,19.0932102620027,26,0.916423320770264
credit,20,262,283,1234,40,21.1306200950012,0.209505526999237,21.3401256220004,14,0.850253283977509
credit,20,284,305,1234,40,22.0250334389984,0.449226116000318,22.4742595549988,17,0.86396598815918
credit,20,306,327,1234,40,24.6178727979996,0.173556267000095,24.7914290649996,17,0.875823974609375
credit,20,328,349,1234,40,25.4538170569986,0.199376626999765,25.6531936839983,17,0.867247045040131
credit,20,350,371,1234,40,26.5142922200002,0.226401577999241,26.7406937979995,12,0.839954793453217
credit,20,372,393,1234,40,28.6038785419987,0.187599141999272,28.791477683998,16,0.856558978557587
credit,20,394,415,1234,40,29.7969711400001,0.154038645001492,29.9510097850016,21,0.897997379302979
credit,20,416,437,1234,40,32.2026201689996,0.758607585000391,32.961227754,18,0.861779808998108
credit,20,438,459,1234,40,32.9133199670023,0.172278852999625,33.0855988200019,24,0.898133873939514
credit,20,460,481,1234,40,34.6499807500013,0.311730234000606,34.9617109840019,22,0.902065575122833
credit,20,482,503,1234,40,36.3001867000012,0.212148409999827,36.512335110001,26,0.926364898681641
credit,20,504,525,1234,40,37.3036511599985,0.3950325170008,37.6986836769993,20,0.864923179149628
credit,20,526,547,1234,40,39.4993209819995,0.294003188998431,39.793324170998,28,0.932699203491211
credit,20,548,569,1234,40,40.9136715720015,0.458523761998549,41.372195334,34,0.965286254882813
credit,20,570,591,1234,40,42.4545526209986,0.285372880001887,42.7399255010005,15,0.867961406707764
credit,20,592,613,1234,40,43.626076440999,0.20084020700051,43.8269166479995,22,0.888899505138397
credit,20,614,635,1234,40,44.8952829209984,0.245254753999689,45.1405376749981,21,0.876521289348602
credit,20,636,652,1234,30,47.2893000500026,0.200360791001913,47.4896608410045,15,0.884149491786957
credit,40,0,217,1234,870,12.6506251880019,0.979622006000682,13.6302471940026,585,0.92599892616272
credit,40,218,239,1234,80,17.4512147409987,0.171414073997767,17.6226288149965,60,0.945004642009735
credit,40,240,261,1234,80,18.8720223860018,0.229745027998433,19.1017674140003,48,0.902625262737274
credit,40,262,283,1234,80,21.0428879609999,0.267739429002177,21.3106273900021,31,0.859460532665253
credit,40,284,305,1234,80,21.8904122410031,0.410647456001243,22.3010596970043,37,0.870978355407715
credit,40,306,327,1234,80,23.7885390109968,0.177491200000986,23.9660302109978,31,0.86459618806839
credit,40,328,349,1234,80,25.3627735950031,0.195336675999897,25.558110271003,33,0.861975491046906
credit,40,350,371,1234,80,26.336939951002,0.667528755998319,27.0044687070003,28,0.846965253353119
credit,40,372,393,1234,80,28.4030287340001,0.171142075000716,28.5741708090009,33,0.857456505298615
credit,40,394,415,1234,80,29.8308880140003,0.272203297999113,30.1030913119994,36,0.869419872760773
credit,40,416,437,1234,80,32.235006425999,0.179395802999352,32.4144022289984,37,0.866127967834473
credit,40,438,459,1234,80,32.8015573499988,0.175149077000242,32.976706426999,39,0.876731872558594
credit,40,460,481,1234,80,34.7589554719998,0.232421590999365,34.9913770629992,46,0.905941009521484
credit,40,482,503,1234,80,36.1937178550015,0.175404466001964,36.3691223210035,50,0.917555272579193
credit,40,504,525,1234,80,37.0718097070003,0.173052808002467,37.2448625150028,44,0.886445641517639
credit,40,526,547,1234,80,39.5625424980008,0.200436017000357,39.7629785150011,55,0.935064911842346
credit,40,548,569,1234,80,40.7247044269998,0.245276157998887,40.9699805849987,61,0.947780072689056
credit,40,570,591,1234,80,42.2365190749997,0.338482101002228,42.5750011760019,35,0.876510143280029
credit,40,592,613,1234,80,43.6481137870005,0.175826032001169,43.8239398190017,39,0.875004947185516
credit,40,614,635,1234,80,44.8369817150006,0.277255238998805,45.1142369539994,43,0.880105912685394
credit,40,636,652,1234,60,47.3385458520024,0.324516824000057,47.6630626760025,27,0.868268489837647
