dataset,pct_nulls,seed,start_index,end_index,nulls,training_time_IPM_70_30_Retraining,imputation_time_IPM_70_30_Retraining,total_time_IPM_70_30_Retraining,exact_matches_IPM_70_30_Retraining,avg_semantic_sim_IPM_70_30_Retraining
credit,5,584,0,217,100,16.828409820999983,0.25402298299997383,17.082432803999957,71,0.9382230639457703
credit,5,584,218,239,10,17.94457316199997,0.16852303799997514,18.113096199999944,9,0.9752739071846008
credit,5,584,240,261,10,19.216903379999906,0.16786415499998952,19.384767534999895,7,0.9427976608276367
credit,5,584,262,283,10,21.172354617999872,0.16718038099998012,21.339534998999852,5,0.8826097846031189
credit,5,584,284,305,10,22.29871481100014,0.14551030199999104,22.44422511300013,5,0.8920057415962219
credit,5,584,306,327,10,24.813946663999957,0.14423862999979065,24.958185293999748,2,0.8513714075088501
credit,5,584,328,349,10,25.589857118000168,0.14561023399971873,25.735467351999887,7,0.9233818054199219
credit,5,584,350,371,10,26.688811154999712,0.13748246900013328,26.826293623999845,5,0.8636607527732849
credit,5,584,372,393,10,28.68691117800006,0.1475462000000789,28.83445737800014,4,0.8460277915000916
credit,5,584,394,415,10,30.110815603000106,0.13916104000031737,30.249976643000423,6,0.8911499977111816
credit,5,584,416,437,10,32.28458930700003,0.1422562600001811,32.426845567000214,7,0.9252046942710876
credit,5,584,438,459,10,33.11478010799965,0.1418744029995196,33.25665451099917,5,0.8652982711791992
credit,5,584,460,481,10,35.12999019500012,0.14663391300064177,35.27662410800076,6,0.9158405661582947
credit,5,584,482,503,10,36.392178740000645,0.14106010000000424,36.53323884000065,8,0.9578396081924438
credit,5,584,504,525,10,37.61418812599959,0.1426652269999522,37.75685335299954,8,0.952279269695282
credit,5,584,526,547,10,39.55822231200068,0.14392104099943026,39.70214335300011,7,0.9383428692817688
credit,5,584,548,569,10,40.896352146000254,0.1408522230001381,41.03720436900039,7,0.9331203699111938
credit,5,584,570,591,10,43.10840605799922,0.14758341199990355,43.25598946999912,7,0.9495565295219421
credit,5,584,592,613,10,43.860661287000084,0.13993502799917223,44.00059631499926,8,0.9570026397705078
credit,5,584,614,635,10,45.1137219980003,0.14219090500023412,45.255912903000535,7,0.9357377290725708
credit,5,584,636,652,0,47.12798200499947,0.0007457029996658093,47.12872770799913,0,0.0
