dataset,pct_nulls,start_index,end_index,seed,nulls,training_time_IPM_70_30_Retraining,imputation_time_IPM_70_30_Retraining,total_time_IPM_70_30_Retraining,exact_matches_IPM_70_30_Retraining,avg_semantic_sim_IPM_70_30_Retraining
imdb,5,0,1509,1234,675,73.880082006,0.921622988999985,74.801704995,241,0.804368197917938
imdb,5,1510,1660,1234,63,83.550058059,0.436689163000011,83.9867472220001,23,0.799268841743469
imdb,5,1661,1811,1234,63,91.0178334809999,0.299246916999948,91.3170803979998,22,0.793513536453247
imdb,5,1812,1962,1234,63,98.3645348510001,0.179931176999787,98.5444660279999,21,0.80242270231247
imdb,5,1963,2113,1234,63,106.06570247,0.454257353999992,106.519959824,27,0.832626640796661
imdb,5,2114,2264,1234,63,113.580355571,0.340745058999801,113.92110063,18,0.78504878282547
imdb,5,2265,2415,1234,63,121.390490454,0.21894052200048,121.609430976,22,0.797164738178253
imdb,5,2416,2566,1234,63,128.219174334,0.188226621000013,128.407400955,24,0.811215341091156
imdb,5,2567,2717,1234,63,136.223077875,0.184682260000272,136.407760135,19,0.772520899772644
imdb,5,2718,2868,1234,63,143.592529546,0.171195598999702,143.763725145,22,0.794851362705231
imdb,5,2869,3019,1234,63,151.08101915,0.159386584000231,151.240405734,21,0.805959582328796
imdb,5,3020,3170,1234,63,158.874759307,0.218757502000926,159.093516809001,21,0.808466494083405
imdb,5,3171,3321,1234,63,166.773679013,0.389360788999511,167.163039802,23,0.800671458244324
imdb,5,3322,3472,1234,63,174.038544396,0.690331551000782,174.728875947001,15,0.758044183254242
imdb,5,3473,3623,1234,63,181.69591017,0.219498995999857,181.915409166,18,0.792480051517487
imdb,5,3624,3774,1234,63,189.265015087999,0.148956016000284,189.413971104,22,0.798714458942413
imdb,5,3775,3925,1234,63,196.913839591,0.189560290999907,197.103399882,21,0.78341943025589
imdb,5,3926,4076,1234,63,204.474878806,0.985709389000022,205.460588195,17,0.763990223407745
imdb,5,4077,4227,1234,63,212.584059872001,1.01425576800011,213.598315640001,22,0.801028609275818
imdb,5,4228,4378,1234,63,220.037399503,0.571959801000958,220.609359304001,23,0.800891757011414
imdb,5,4379,4528,1234,63,227.12747129,0.191382933000114,227.318854223,22,0.803832590579987
imdb,10,0,1509,1234,1359,69.5604392839996,1.99846133700157,71.5589006210012,484,0.794494688510895
imdb,10,1510,1660,1234,135,83.1108412350013,0.387073648999831,83.4979148840012,46,0.788528442382813
imdb,10,1661,1811,1234,135,90.5290673579975,0.294223238998711,90.8232905969962,46,0.792508721351624
imdb,10,1812,1962,1234,135,98.1202769679994,0.520130165999944,98.6404071339994,43,0.780250012874603
imdb,10,1963,2113,1234,135,105.865974146001,0.400488586999018,106.266462733,51,0.798634946346283
imdb,10,2114,2264,1234,135,113.645578809999,0.210669951999989,113.856248761999,41,0.77422696352005
imdb,10,2265,2415,1234,135,120.989692004001,0.206056949001322,121.195748953002,45,0.781533777713776
imdb,10,2416,2566,1234,135,128.347301751997,0.356524771002114,128.703826522999,46,0.784964561462402
imdb,10,2567,2717,1234,135,135.886394178,0.337721558999874,136.224115737,42,0.762674629688263
imdb,10,2718,2868,1234,135,143.686812086999,0.277757045999351,143.964569132999,42,0.771721839904785
imdb,10,2869,3019,1234,135,151.157378666002,0.276226230998873,151.433604897001,46,0.794041037559509
imdb,10,3020,3170,1234,135,158.771356623,0.8461369989991,159.617493622,41,0.777745187282562
imdb,10,3171,3321,1234,135,166.122086181,0.212385099001949,166.334471280002,47,0.783667266368866
imdb,10,3322,3472,1234,135,173.753066914,0.207931594999536,173.960998508999,38,0.765103220939636
imdb,10,3473,3623,1234,135,181.239620342998,0.273564034999254,181.513184377997,39,0.76733011007309
imdb,10,3624,3774,1234,135,188.962931786001,1.58079243899829,190.543724224999,47,0.78931987285614
imdb,10,3775,3925,1234,135,196.671090630002,0.628802218000601,197.299892848003,39,0.762690782546997
imdb,10,3926,4076,1234,135,204.782261428998,0.231440685999587,205.013702114998,38,0.763359367847443
imdb,10,4077,4227,1234,135,211.741968053998,0.244342047998543,211.986310101996,41,0.77008193731308
imdb,10,4228,4378,1234,135,219.417453042,0.21638546000122,219.633838502001,45,0.786805748939514
imdb,10,4379,4528,1234,135,226.895626830003,0.247489562998453,227.143116393001,45,0.774043560028076
imdb,20,0,1509,1234,2718,63.4158861419983,3.60611432799851,67.0220004699968,970,0.794568300247192
imdb,20,1510,1660,1234,270,82.3495907019988,0.416944756001612,82.7665354580004,96,0.798700749874115
imdb,20,1661,1811,1234,270,89.8288411150024,0.387619269997231,90.2164603849997,95,0.80005943775177
imdb,20,1812,1962,1234,270,97.5443824150025,0.53337968899541,98.0777621039979,91,0.794120490550995
imdb,20,1963,2113,1234,270,105.450537196,0.871919171002446,106.322456367003,99,0.80577290058136
imdb,20,2114,2264,1234,270,112.304741074002,0.796569361000366,113.101310435002,82,0.780930459499359
imdb,20,2265,2415,1234,270,119.767312859,0.35316892299852,120.120481781998,90,0.792152583599091
imdb,20,2416,2566,1234,270,127.564917525,0.348446842001067,127.913364367001,90,0.792898178100586
imdb,20,2567,2717,1234,270,135.078755997998,0.500512377999257,135.579268375997,86,0.78625363111496
imdb,20,2718,2868,1234,270,142.71862145,0.546224314004576,143.264845764004,86,0.785127997398377
imdb,20,2869,3019,1234,270,150.679399527999,0.383042128003581,151.062441656002,91,0.801031053066254
imdb,20,3020,3170,1234,270,157.645395123001,0.517876979998619,158.163272103,82,0.778484523296356
imdb,20,3171,3321,1234,270,165.512696511005,0.39957783400132,165.912274345006,91,0.789685726165772
imdb,20,3322,3472,1234,270,172.971714733001,0.810615893000431,173.782330626002,78,0.776759564876556
imdb,20,3473,3623,1234,270,180.49446351,0.652882754999155,181.147346264999,81,0.779302716255188
imdb,20,3624,3774,1234,270,188.066798690003,0.83455978699385,188.901358476996,81,0.777067601680756
imdb,20,3775,3925,1234,270,195.957252449996,1.68463683400114,197.641889283997,79,0.768341362476349
imdb,20,3926,4076,1234,270,203.157790647003,0.429081224998299,203.586871872001,78,0.764704465866089
imdb,20,4077,4227,1234,270,211.115270412001,0.566528094002933,211.681798506004,81,0.777105450630188
imdb,20,4228,4378,1234,270,219.098926028,0.79654346499774,219.895469492998,81,0.775871872901917
imdb,20,4379,4528,1234,270,226.312311919995,0.675614844998563,226.987926764994,80,0.768742501735687
imdb,40,0,1509,1234,5436,50.3526025080009,6.78958535599668,57.1421878639976,1958,0.805517137050629
imdb,40,1510,1660,1234,540,80.7304967850032,1.4409880159983,82.1714848010015,192,0.806965291500092
imdb,40,1661,1811,1234,540,87.9799220929999,0.653921854996952,88.6338439479969,184,0.803039312362671
imdb,40,1812,1962,1234,540,95.8298106920029,0.679613243000858,96.5094239350037,183,0.80317348241806
imdb,40,1963,2113,1234,540,103.374382872,0.656358663996798,104.030741535997,195,0.809058427810669
imdb,40,2114,2264,1234,540,110.980524450997,0.714775710999675,111.695300161997,173,0.796310961246491
imdb,40,2265,2415,1234,540,118.627535084002,0.721598251002433,119.349133335005,176,0.795781433582306
imdb,40,2416,2566,1234,540,125.759068712998,0.705028167003547,126.464096880001,183,0.803438723087311
imdb,40,2567,2717,1234,540,133.203010617004,0.720465414002319,133.923476031006,178,0.794187545776367
imdb,40,2718,2868,1234,540,140.814697841999,1.13986128400393,141.954559126003,170,0.788169085979462
imdb,40,2869,3019,1234,540,148.305039534001,0.773324282999965,149.078363817001,182,0.80181235074997
imdb,40,3020,3170,1234,540,156.206364803002,0.78237225200246,156.988737055004,165,0.786888837814331
imdb,40,3171,3321,1234,540,163.967350339002,0.725121961000696,164.692472300003,173,0.79617041349411
imdb,40,3322,3472,1234,540,171.060058141004,0.71190544500314,171.771963586007,155,0.785720825195313
imdb,40,3473,3623,1234,540,178.454589283001,0.735923881999042,179.190513165,166,0.79047703742981
imdb,40,3624,3774,1234,540,186.152948170004,0.706304983998052,186.859253154002,154,0.77861100435257
imdb,40,3775,3925,1234,540,193.852046993001,0.749423499999466,194.601470493,167,0.78187358379364
imdb,40,3926,4076,1234,540,201.574325856998,0.703117537001162,202.277443393999,155,0.774438142776489
imdb,40,4077,4227,1234,540,209.404930509998,0.722641389998898,210.127571899997,161,0.784727394580841
imdb,40,4228,4378,1234,540,216.283128649005,0.721845650999967,217.004974300005,171,0.79218590259552
imdb,40,4379,4528,1234,540,223.919750091995,0.711401165997813,224.631151257992,161,0.779245793819428
