dataset,pct_nulls,seed,start_index,end_index,nulls,training_time_IPM_70_30_fixed,imputation_time_IPM_70_30_fixed,total_time_IPM_70_30_fixed,exact_matches_IPM_70_30,avg_semantic_sim_IPM_70_30_fixed
adultsample,5,1234,0,999,450,67.99945550300005,0.6857224209999799,68.68517792400003,296,0.8935593366622925
adultsample,5,1234,1000,1099,45,67.99945550300005,0.5039966709999817,68.50345217400003,32,0.902738630771637
adultsample,5,1234,1100,1199,45,67.99945550300005,0.5427150620000134,68.54217056500006,32,0.898543119430542
adultsample,5,1234,1200,1299,45,67.99945550300005,1.0526532470000234,69.05210875000007,31,0.8937160968780518
adultsample,5,1234,1300,1399,45,67.99945550300005,0.30417527699995617,68.30363078,31,0.9068962335586548
adultsample,5,1234,1400,1499,45,67.99945550300005,0.7093986430000143,68.70885414600006,34,0.9209694862365723
adultsample,5,1234,1500,1599,45,67.99945550300005,0.7222079889999691,68.72166349200002,31,0.90107661485672
adultsample,5,1234,1600,1699,45,67.99945550300005,0.7759663790000388,68.77542188200009,34,0.9303290843963623
adultsample,5,1234,1700,1799,45,67.99945550300005,0.6668809669999973,68.66633647000005,33,0.9185125231742859
adultsample,5,1234,1800,1899,45,67.99945550300005,0.9181367460000445,68.9175922490001,28,0.8888995051383972
adultsample,5,1234,1900,1999,45,67.99945550300005,0.274909970000067,68.27436547300012,28,0.891518771648407
adultsample,5,1234,2000,2099,45,67.99945550300005,0.2709705750000353,68.27042607800009,31,0.8881562352180481
adultsample,5,1234,2100,2199,45,67.99945550300005,0.5303525710000088,68.52980807400006,26,0.8843772411346436
adultsample,5,1234,2200,2299,45,67.99945550300005,0.3855325119999975,68.38498801500005,32,0.892661988735199
adultsample,5,1234,2300,2399,45,67.99945550300005,0.6438897580000287,68.64334526100008,26,0.877202570438385
adultsample,5,1234,2400,2499,45,67.99945550300005,0.4018954039999869,68.40135090700004,30,0.8904932141304016
adultsample,5,1234,2500,2599,45,67.99945550300005,0.1746594459999642,68.17411494900001,30,0.8861625790596008
adultsample,5,1234,2600,2699,45,67.99945550300005,0.1636058060000778,68.16306130900013,33,0.9026919007301331
adultsample,5,1234,2700,2799,45,67.99945550300005,0.32804972099992824,68.32750522399998,28,0.8856522440910339
adultsample,5,1234,2800,2899,45,67.99945550300005,0.2330487400000152,68.23250424300007,30,0.8995268940925598
adultsample,5,1234,2900,2999,45,67.99945550300005,0.19218879100000663,68.19164429400006,35,0.9174712300300598
