dataset,pct_nulls,start_index,end_index,seed,nulls,training_time_IPM_70_30,imputation_time_IPM_70_30,total_time_IPM_70_30_fixed,exact_matches_IPM_70_30,avg_semantic_sim_IPM_70_30_fixed
contraceptive,5,0,490,1234,192,24.341025845,0.630559875999978,24.971585721,119,0.882084846496582
contraceptive,5,491,539,1234,16,24.341025845,1.53834268300001,25.879368528,10,0.868456125259399
contraceptive,5,540,588,1234,16,24.341025845,1.21688371899999,25.557909564,8,0.841659784317017
contraceptive,5,589,637,1234,16,24.341025845,0.817636850999989,25.158662696,11,0.899348974227905
contraceptive,5,638,686,1234,16,24.341025845,1.32989483800002,25.670920683,8,0.843941807746887
contraceptive,5,687,735,1234,16,24.341025845,1.764570871,26.105596716,8,0.83637011051178
contraceptive,5,736,784,1234,16,24.341025845,1.08347928299999,25.424505128,6,0.825171411037445
contraceptive,5,785,833,1234,16,24.341025845,1.651344063,25.992369908,8,0.839038550853729
contraceptive,5,834,882,1234,16,24.341025845,0.678780476,25.019806321,8,0.868199586868286
contraceptive,5,883,931,1234,16,24.341025845,1.00218240999997,25.343208255,9,0.838620662689209
contraceptive,5,932,980,1234,16,24.341025845,1.32366554399999,25.664691389,7,0.83745539188385
contraceptive,5,981,1029,1234,16,24.341025845,1.06595715499999,25.406983,13,0.949477672576904
contraceptive,5,1030,1078,1234,16,24.341025845,0.848113913999995,25.189139759,13,0.94573700428009
contraceptive,5,1079,1127,1234,16,24.341025845,1.10806015899999,25.449086004,13,0.962378084659576
contraceptive,5,1128,1176,1234,16,24.341025845,0.724824974000001,25.065850819,13,0.945247530937195
contraceptive,5,1177,1225,1234,16,24.341025845,2.32433444599999,26.665360291,8,0.822914481163025
contraceptive,5,1226,1274,1234,16,24.341025845,1.46544946700001,25.806475312,10,0.882364928722382
contraceptive,5,1275,1323,1234,16,24.341025845,1.342236184,25.683262029,10,0.887657046318054
contraceptive,5,1324,1372,1234,16,24.341025845,1.00358598399998,25.344611829,10,0.851897358894348
contraceptive,5,1373,1421,1234,16,24.341025845,1.98128542800001,26.322311273,11,0.87984049320221
