dataset,pct_nulls,seed,start_index,end_index,nulls,training_time_IPM_70_30_fixed,imputation_time_IPM_70_30_fixed,total_time_IPM_70_30_fixed,exact_matches_IPM_70_30,avg_semantic_sim_IPM_70_30_fixed
credit,5,94,0,217,100,18.15645214799997,1.4020452120000186,19.55849735999999,66,0.9221915006637573
credit,5,94,218,239,10,18.15645214799997,0.14836016600000335,18.304812313999975,5,0.8884596824645996
credit,5,94,240,261,10,18.15645214799997,0.14598963399996023,18.30244178199993,5,0.8740589022636414
credit,5,94,262,283,10,18.15645214799997,0.1538364190000152,18.310288566999986,4,0.8652052879333496
credit,5,94,284,305,10,18.15645214799997,0.15145301700007963,18.30790516500005,6,0.8731281161308289
credit,5,94,306,327,10,18.15645214799997,0.14621772900002838,18.302669877,5,0.8852612376213074
credit,5,94,328,349,10,18.15645214799997,0.14919984200000158,18.305651989999973,4,0.8646181225776672
credit,5,94,350,371,10,18.15645214799997,0.14429214699995896,18.30074429499993,4,0.8592432141304016
credit,5,94,372,393,10,18.15645214799997,0.14479752999997686,18.301249677999948,4,0.873842716217041
credit,5,94,394,415,10,18.15645214799997,0.15190586899993264,18.308358016999904,6,0.9004581570625305
credit,5,94,416,437,10,18.15645214799997,0.1498830209999653,18.306335168999937,5,0.8779229521751404
credit,5,94,438,459,10,18.15645214799997,0.15419255099999418,18.310644698999965,5,0.8736511468887329
credit,5,94,460,481,10,18.15645214799997,0.14514496699999313,18.301597114999964,5,0.8974767923355103
credit,5,94,482,503,10,18.15645214799997,0.14163705300003926,18.29808920100001,7,0.9398755431175232
credit,5,94,504,525,10,18.15645214799997,0.17028152999995427,18.326733677999925,4,0.8507274985313416
credit,5,94,526,547,10,18.15645214799997,0.15505444300004,18.31150659100001,8,0.9610280990600586
credit,5,94,548,569,10,18.15645214799997,0.1453271450000102,18.30177929299998,7,0.9242430925369263
credit,5,94,570,591,10,18.15645214799997,0.14148759100004327,18.297939739000014,5,0.8813906908035278
credit,5,94,592,613,10,18.15645214799997,0.14217284299991206,18.298624990999883,5,0.8827540278434753
credit,5,94,614,635,10,18.15645214799997,0.1430666959999769,18.299518843999948,3,0.8509487509727478
credit,5,94,636,652,0,18.15645214799997,0.0,18.15645214799997,0,0.0
credit,10,94,0,217,210,17.362916868000013,1.541269461000013,18.904186329000026,143,0.9299368858337402
credit,10,94,218,239,20,17.362916868000013,1.538222429999962,18.901139297999975,13,0.9197830557823181
credit,10,94,240,261,20,17.362916868000013,1.5773857210001552,18.94030258900017,10,0.8779879808425903
credit,10,94,262,283,20,17.362916868000013,1.7896156710000923,19.152532539000106,10,0.8862112164497375
credit,10,94,284,305,20,17.362916868000013,1.8103702250000424,19.173287093000056,11,0.8643537759780884
credit,10,94,306,327,20,17.362916868000013,1.3892003259999797,18.752117193999993,9,0.875710666179657
credit,10,94,328,349,20,17.362916868000013,1.4790109169999823,18.841927784999996,9,0.8729325532913208
credit,10,94,350,371,20,17.362916868000013,1.5831377530000168,18.94605462100003,8,0.8533561825752258
credit,10,94,372,393,20,17.362916868000013,1.236330707000036,18.59924757500005,8,0.8702160120010376
credit,10,94,394,415,20,17.362916868000013,1.4062385939998876,18.7691554619999,8,0.8657099008560181
credit,10,94,416,437,20,17.362916868000013,1.7355374380000512,19.098454306000065,12,0.9003332257270813
credit,10,94,438,459,20,17.362916868000013,1.992352581999853,19.355269449999867,9,0.8723545074462891
credit,10,94,460,481,20,17.362916868000013,1.9817977979998318,19.344714665999845,12,0.916748046875
credit,10,94,482,503,20,17.362916868000013,1.721582079999905,19.08449894799992,16,0.9635688662528992
credit,10,94,504,525,20,17.362916868000013,1.3690526880000675,18.73196955600008,12,0.8996607065200806
credit,10,94,526,547,20,17.362916868000013,1.2451260359999878,18.608042904,16,0.9612320065498352
credit,10,94,548,569,20,17.362916868000013,1.907959797999922,19.270876665999936,15,0.9433895945549011
credit,10,94,570,591,20,17.362916868000013,1.4769554829999834,18.839872350999997,10,0.8744579553604126
credit,10,94,592,613,20,17.362916868000013,1.672027713000091,19.034944581000104,9,0.8751503229141235
credit,10,94,614,635,20,17.362916868000013,1.6449966349999272,19.00791350299994,9,0.8763851523399353
credit,10,94,636,652,10,17.362916868000013,0.1400731470000096,17.502990015000023,3,0.8320677876472473
credit,20,94,0,217,430,16.0984319719999,1.8480177390000563,17.946449710999957,303,0.9331338405609131
credit,20,94,218,239,40,16.0984319719999,1.3429838589997871,17.441415830999688,27,0.924420952796936
credit,20,94,240,261,40,16.0984319719999,1.5769548799997892,17.67538685199969,19,0.8707243800163269
credit,20,94,262,283,40,16.0984319719999,1.4472783390000359,17.545710310999937,18,0.8738639950752258
credit,20,94,284,305,40,16.0984319719999,1.5722231959999817,17.670655167999882,23,0.8786348700523376
credit,20,94,306,327,40,16.0984319719999,0.959755935000203,17.058187907000104,20,0.8826791644096375
credit,20,94,328,349,40,16.0984319719999,0.6793066269998462,16.777738598999747,21,0.8882265090942383
credit,20,94,350,371,40,16.0984319719999,1.4485213539998085,17.54695332599971,16,0.855445384979248
credit,20,94,372,393,40,16.0984319719999,1.2067579249996925,17.305189896999593,17,0.8708053827285767
credit,20,94,394,415,40,16.0984319719999,1.0201748689999022,17.118606840999803,18,0.8686122894287109
credit,20,94,416,437,40,16.0984319719999,0.8880126579999796,16.98644462999988,20,0.8698893785476685
